,year,state,candidate,party,totalvotes,Eligible_voting_pop,electoralvotes,candidatevotes,state_won_flag,percent_won
195,1976,New York,Other,unknown,6668262,0.0,41.0,143037,0,2.15
196,1976,North Carolina,Other,constitution party,1677906,0.0,13.0,5607,0,0.33
197,1976,North Carolina,"Carter, Jimmy",democrat,1677906,0.0,13.0,927365,1,55.27
198,1976,North Carolina,"Ford, Gerald",republican,1677906,0.0,13.0,741960,0,44.22
199,1976,North Carolina,Other,u.s. labor,1677906,0.0,13.0,755,0,0.04
200,1976,North Carolina,Other,libertarian,1677906,0.0,13.0,2219,0,0.13
201,1976,North Dakota,Other,constitution party,297308,0.0,3.0,3698,0,1.24
202,1976,North Dakota,Other,prohibition,297308,0.0,3.0,63,0,0.02
203,1976,North Dakota,Other,socialist workers,297308,0.0,3.0,43,0,0.01
204,1976,North Dakota,"Carter, Jimmy",democrat,297308,0.0,3.0,136078,0,45.77
205,1976,North Dakota,"Ford, Gerald",republican,297308,0.0,3.0,153684,1,51.69
206,1976,North Dakota,Other,communist party use,297308,0.0,3.0,85,0,0.03
207,1976,North Dakota,Other,u.s. labor,297308,0.0,3.0,142,0,0.05
208,1976,North Dakota,Other,libertarian,297308,0.0,3.0,256,0,0.09
209,1976,North Dakota,Other,american independent party,297308,0.0,3.0,269,0,0.09
210,1976,North Dakota,Other,independent,297308,0.0,3.0,2952,0,0.99
211,1976,North Dakota,Other,socialist,297308,0.0,3.0,38,0,0.01
212,1976,Ohio,Other,prohibition,4110456,0.0,25.0,62,0,0.0
213,1976,Ohio,Other,socialist workers,4110456,0.0,25.0,4833,0,0.12
214,1976,Ohio,"Carter, Jimmy",democrat,4110456,0.0,25.0,2009959,1,48.9
215,1976,Ohio,"Ford, Gerald",republican,4110456,0.0,25.0,2000626,0,48.67
216,1976,Ohio,Other,communist party use,4110456,0.0,25.0,7817,0,0.19
217,1976,Ohio,Other,socialist labor,4110456,0.0,25.0,68,0,0.0
218,1976,Ohio,Other,u.s. labor,4110456,0.0,25.0,4364,0,0.11
219,1976,Ohio,Other,libertarian,4110456,0.0,25.0,8952,0,0.22
220,1976,Ohio,Other,american independent party,4110456,0.0,25.0,15508,0,0.38
221,1976,Ohio,Other,independent,4110456,0.0,25.0,58267,0,1.42
222,1976,Oklahoma,"Carter, Jimmy",democrat,1092251,0.0,8.0,532442,0,48.75
223,1976,Oklahoma,"Ford, Gerald",republican,1092251,0.0,8.0,545708,1,49.96
224,1976,Oklahoma,Other,independent,1092251,0.0,8.0,14101,0,1.29
225,1976,Oregon,Other,constitution party,1029876,0.0,6.0,1035,0,0.1
226,1976,Oregon,"Carter, Jimmy",democrat,1029876,0.0,6.0,490407,0,47.62
227,1976,Oregon,"Ford, Gerald",republican,1029876,0.0,6.0,492120,1,47.78
228,1976,Oregon,Other,independent,1029876,0.0,6.0,40207,0,3.9
229,1976,Pennsylvania,Other,socialist workers,4620787,0.0,27.0,3009,0,0.07
